book_title,author_name,year_released,rating,ratings_count
Far From the Madding Crowd,Thomas Hardy,1874,3.95,142383
Agnes and the Hitman,Jennifer Crusie,2007,3.95,19791
Dear Aaron,Mariana Zapata,2017,3.95,40646
The Vincent Boys,Abbi Glines,2011,3.95,73664
The Girl with the Make-Believe Husband,Julia Quinn,2017,3.94,31086
Something Blue,Emily Giffin,2005,3.94,213771
Welcome to Temptation,Jennifer Crusie,2000,3.94,33011
Sins & Needles,Karina Halle,2013,3.94,22475
King's Cage,Victoria Aveyard,2017,3.94,200495
Something About You,Julie James,2010,3.94,60302
Blurred Lines,Lauren Layne,2015,3.94,24337
I've Got Your Number,Sophie Kinsella,2011,3.94,214926
We'll Always Have Summer,Jenny Han,2011,3.94,224027
Bully,Penelope Douglas,2013,3.94,161031
"Love, Rosie",Cecelia Ahern,2004,3.94,122412
"Hush, Hush",Becca Fitzpatrick,2009,3.94,660659
We'll Always Have Summer,Jenny Han,2011,3.94,224027
Marriage for One,Ella Maise,2019,3.93,60911
Master of Crows,Grace Draven,2009,3.93,16671
Bet Me,Jennifer Crusie,2004,3.93,90477
The Queer Principles of Kit Webb,Cat Sebastian,2021,3.93,5949
Big Rock,Lauren Blakely,2016,3.93,32326
A Rogue by Any Other Name,Sarah MacLean,2012,3.93,40424
Rosaline Palmer Takes the Cake,Alexis  Hall,2021,3.93,8614
Love in the Time of Cholera,Gabriel García Márquez,1985,3.93,466520
Geekerella,Ashley Poston,2017,3.93,59104
Twisted Palace,Erin Watt,2016,3.93,67980
The Best Man,Kristan Higgins,2013,3.93,27147
Until Friday Night,Abbi Glines,2015,3.92,55583
The Countess Conspiracy,Courtney Milan,2013,3.92,11711
Atonement,Ian McEwan,2001,3.92,485925
The Distance Between Us,Kasie West,2013,3.92,75238
The Duke Who Didn't,Courtney Milan,2020,3.92,4475
Faking It,Jennifer Crusie,2002,3.92,18934
Dragon Actually,G.A. Aiken,2004,3.92,28733
Pestilence,Laura Thalassa,2018,3.92,62447
Hex Hall,Rachel Hawkins,2010,3.92,140304
Pucked,Helena Hunting,2015,3.92,58892
One Week Girlfriend,Monica  Murphy,2013,3.92,52570
All the Feels,Olivia Dade,2021,3.92,15136
Knight,Kristen Ashley,2012,3.92,53672
Kiss of Midnight,Lara Adrian,2007,3.92,64186
The Day of the Duchess,Sarah MacLean,2017,3.92,14031
Lady Isabella's Scandalous Marriage,Jennifer Ashley,2010,3.92,16893
Polaris Rising,Jessie Mihalik,2019,3.92,10458
Lola and the Boy Next Door,Stephanie Perkins,2011,3.92,160612
Someone Like You,Sarah Dessen,1998,3.92,101491
The Bromance Book Club,Lyssa Kay Adams,2019,3.91,77742
Turtles All the Way Down,John Green,2017,3.91,475614
The Governess Game,Tessa Dare,2018,3.91,27195
Warm Bodies,Isaac Marion,2010,3.91,102702
The Upside of Unrequited,Becky Albertalli,2017,3.91,72060
Truth or Beard,Penny Reid,2015,3.91,46697
To Catch an Heiress,Julia Quinn,1998,3.91,17815
The Heiress Effect,Courtney Milan,2013,3.91,14403
Anna Dressed in Blood,Kendare Blake,2011,3.91,103192
What I Did for Love,Susan Elizabeth Phillips,2009,3.91,18807
The Chase,Elle Kennedy,2018,3.91,109987
Written in the Stars,Alexandria Bellefleur,2020,3.91,31978
The Hooker and the Hermit,L.H. Cosway,2015,3.91,26872
Rush,Maya Banks,2013,3.91,75310
The Prince,Kiera Cass,2013,3.91,76240
Covet,J.R. Ward,2009,3.91,49252
One to Watch,(Pseudonym),2020,3.91,81435
Barbarian Lover,Ruby Dixon,2015,3.9,31023
RoomHate,Penelope Ward,2016,3.9,59673
Neanderthal Seeks Human,Penny Reid,2013,3.9,60932
A Room with a View,E.M. Forster,1908,3.9,169459
The No-Show,Beth O'Leary,2022,3.9,35240
The Fill-In Boyfriend,Kasie West,2015,3.9,61519
Brutal Prince,Sophie Lark,2020,3.9,59077
The Perfect Play,Jaci Burton,2011,3.9,38713
Hooked,Emily McIntire,2021,3.9,57684
These Broken Stars,Amie Kaufman,2013,3.9,68276
Dumplin',Julie   Murphy,2015,3.9,83838
The Friend Zone,Abby Jimenez,2019,3.9,88892
XOXO,Axie Oh,2021,3.9,16609
Shatter Me,Tahereh Mafi,2011,3.9,517418
A Quick Bite,Lynsay Sands,2005,3.9,42772
A Thousand Pieces of You,Claudia Gray,2014,3.9,55547
Dead in the Family,Charlaine Harris,2010,3.89,158836
Undercover Bromance,Lyssa Kay Adams,2020,3.89,37661
Romancing the Duke,Tessa Dare,2014,3.89,40861
The Shadows Between Us,Tricia Levenseller,2020,3.89,128699
The Secret Diaries of Miss Miranda Cheever,Julia Quinn,2007,3.89,40314
The Falling in Love Montage,Ciara Smyth,2020,3.89,18347
Ayesha at Last,Uzma Jalaluddin,2018,3.89,21810
Just One Year,Gayle Forman,2013,3.89,42605
Soulless,Gail Carriger,2009,3.89,107608
Grave Mercy,Robin LaFevers,2012,3.89,104570
Crazy Rich Asians,Kevin Kwan,2013,3.89,430349
A Kiss for Midwinter,Courtney Milan,2012,3.88,9569
Throttled,Lauren Asher,2020,3.88,67884
Lolita,Vladimir Nabokov,1955,3.88,763469
The Lover's Dictionary,David Levithan,2011,3.88,44871
Ricochet,Krista Ritchie,2013,3.88,48742
Portrait of a Scotsman,Evie Dunmore,2021,3.88,22701
The Iron King,Julie Kagawa,2010,3.88,207758
Ten Ways to Be Adored When Landing a Lord,Sarah MacLean,2010,3.88,24842
Attachments,Rainbow Rowell,2011,3.88,190317
The Bride Test,Helen Hoang,2019,3.87,131144
The Unwanted Wife,Natasha Anders,2012,3.87,39577
A Lady by Midnight,Tessa Dare,2012,3.87,18785
A Night Like This,Julia Quinn,2012,3.87,26914
A Wallflower Christmas,Lisa Kleypas,2008,3.87,24035
Rainshadow Road,Lisa Kleypas,2012,3.87,15510
Well Matched,(Editor/Contributer),2021,3.87,18109
Act Like It,Lucy  Parker,2015,3.87,10804
Love & Other Disasters,Anita Kelly,2022,3.87,11166
Don't You Forget About Me,Mhairi McFarlane,2019,3.87,40746
Bound by Honor,Cora Reilly,2014,3.87,77006
A Girl Like Her,Talia Hibbert,2018,3.87,8220
The Light We Lost,Jill Santopolo,2017,3.87,131246
Mansfield Park,Charlaine Harris,1814,3.86,321831
Hang the Moon,Alexandria Bellefleur,2021,3.86,10989
Kiss of Steel,Bec McMaster,2012,3.86,12266
Maybe Not,Colleen Hoover,2014,3.86,76362
Minx,Julia Quinn,1996,3.86,16764
By Your Side,Kasie West,2017,3.86,47582
Unveiled,Courtney Milan,2011,3.86,9105
What If It's Us,David Nicholls,2018,3.86,121957
To Love Jason Thorn,Ella Maise,2015,3.85,79607
Torment,Lauren Kate,2010,3.85,226778
Well Met,Jen DeLuca,2019,3.85,58786
A Touch of Darkness,Scarlett St.  Clair,2019,3.85,142444
Hearts in Darkness,Laura Kaye,2011,3.85,36815
Twenties Girl,Sophie Kinsella,2009,3.85,161930
The Governess Affair,Courtney Milan,2012,3.85,17261
Breathe,Abbi Glines,2011,3.85,82311
The Undomestic Goddess,Sophie Kinsella,2005,3.85,282087
Siege and Storm,Leigh Bardugo,2013,3.85,486943
Everything Leads to You,Nina LaCour,2014,3.85,32061
This Time Next Year,Sophie Cousens,2020,3.85,71158
The Host,Stephenie Meyer,2008,3.85,963467
Uglies,Scott Westerfeld,2005,3.85,622785
"To Sir, with Love",Lauren Layne,2021,3.85,18958
Catching Jordan,Miranda Kenneally,2011,3.84,61749
American Royals,Katharine McGee,2019,3.84,94008
Nights in Rodanthe,Nicholas Sparks,2002,3.84,164417
Evvie Drake Starts Over,Linda  Holmes,2019,3.84,119436
Fifty Shades Freed,E.L. James,2012,3.84,795618
Addicted to You,Krista Ritchie,2013,3.84,87419
The Iron Duke,Meljean Brook,2010,3.84,16737
If I Never Met You,Mhairi McFarlane,2020,3.84,53076
On the Way to the Wedding,Julia Quinn,2006,3.84,89776
China Rich Girlfriend,Kevin Kwan,2015,3.84,188682
They Both Die at the End,Adam Silvera,2017,3.84,515457
Battle Royal,Lucy  Parker,2021,3.84,8793
The Bookshop on the Corner,Jenny Colgan,2016,3.84,73591
Northanger Abbey,Jane Austen,1817,3.84,356726
The Summer I Turned Pretty,Jenny Han,2009,3.84,396929
Wrong,Jana Aston,2015,3.84,43621
At First Sight,Nicholas Sparks,2004,3.84,84338
First Comes Scandal,Julia Quinn,2020,3.83,22463
Normal People,Sally Rooney,2018,3.83,948855
Fifty Shades Darker,E.L. James,2011,3.83,837476
The Trouble with Hating You,Sajni Patel,2020,3.83,19351
"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,2006,3.83,185180
Beautiful Darkness,Kami Garcia,2010,3.83,132770
My Killer Vacation,Tessa Bailey,2022,3.83,47186
After We Fell,Anna Todd,2014,3.83,125212
Beastly,Alex Flinn,2007,3.83,174950
Say Yes to the Marquess,Tessa Dare,2014,3.83,21080
The Bookish Life of Nina Hill,Abbi Waxman,2019,3.82,87372
Wicked Intentions,Elizabeth Hoyt,2010,3.82,18073
Roomies,Christina Lauren,2017,3.82,58406
Boy Meets Boy,David Levithan,2003,3.82,72807
The Duchess War,Courtney Milan,2012,3.82,26223
The Proposal,Mary Balogh,2012,3.82,11343
How to Fail at Flirting,Denise  Williams,2020,3.82,24275
The Duke and I,Julia Quinn,2000,3.82,356433
The Boy Next Door,Meg Cabot,2002,3.82,66285
Bombshell,Sarah MacLean,2021,3.82,8823
The Sisterhood of the Traveling Pants,Ann Brashares,2001,3.82,672829
Tess of the D’Urbervilles,Thomas Hardy,1891,3.82,264435
Grey,E.L. James,2015,3.81,167773
The Royal We,Heather Cocks,2015,3.81,61552
True Believer,Nicholas Sparks,2003,3.81,84084
Maybe in Another Life,Taylor Jenkins Reid,2015,3.81,120415
Conversations with Friends,Sally Rooney,2017,3.81,338938
Anyone But You,Jennifer Crusie,1996,3.81,20167
Just Haven't Met You Yet,Sophie Cousens,2021,3.81,35118
Crave,Tracy Wolff,2020,3.81,97338
Corrupt,Penelope Douglas,2015,3.81,138238
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,2010,3.81,190279
My Not So Perfect Life,Sophie Kinsella,2017,3.8,111635
A Kiss at Midnight,Eloisa James,2010,3.8,19209
The Princess Diaries,Meg Cabot,2000,3.8,247084
Dead Reckoning,Charlaine Harris,2011,3.8,122829
Remember Me?,Sophie Kinsella,2008,3.8,240254
A Court of Frost and Starlight,Sarah J. Maas,2018,3.8,433701
The Marriage Bargain,Jennifer Probst,2010,3.8,109486
To Kill a Kingdom,Alexandra Christo,2018,3.8,136587
Tools of Engagement,Tessa Bailey,2020,3.79,36814
The Wedding Party,Jasmine Guillory,2019,3.78,44329
Twisted Love,Ana Huang,2021,3.78,156928
A Princess in Theory,Alyssa Cole,2018,3.78,14602
Firelight,Kristen Callihan,2012,3.77,16432
You've Reached Sam,Dustin Thao,2021,3.77,52535
Royals,Rachel Hawkins,2018,3.77,22774
The Statistical Probability of Love at First Sight,Jennifer E. Smith,2012,3.77,113752
Someone to Watch Over Me,Jen DeLuca,1998,3.77,21345
Across the Universe,Beth Revis,2011,3.77,117352
A Deal with the Elf King,Elise Kova,2020,3.77,61780
"To Sir Phillip, With Love",Julia Quinn,2003,3.76,140654
While We Were Dating,Jasmine Guillory,2021,3.76,29416
Holding Up the Universe,Jennifer Niven,2016,3.76,105375
By the Book,Jasmine Guillory,2022,3.76,16655
The Cheat Sheet,Sarah       Adams,2021,3.76,88916
Christmas Eve at Friday Harbor,Lisa Kleypas,2010,3.76,19147
Beautiful Creatures,Kami Garcia,2009,3.76,578256
Beauty and the Blacksmith,Tessa Dare,2013,3.76,11041
The Two Lives of Lydia Bird,Josie Silver,2020,3.76,56854
Shiver,Maggie Stiefvater,2009,3.76,465220
Dash & Lily's Book of Dares,Rachel Cohn,2010,3.76,90591
The Ex Talk,Rachel Lynn Solomon,2021,3.76,57761
Dial A for Aunties,Jesse Q. Sutanto,2021,3.76,58738
Priest,Sierra Simone,2015,3.76,58593
The Legacy,Elle Kennedy,2021,3.76,51832
Once and for All,Sarah Dessen,2017,3.76,33164
Intercepted,Alexa  Martin,2018,3.75,11474
Mr. Wrong Number,Lynn Painter,2022,3.75,30262
Trade Me,Courtney Milan,2015,3.75,5305
A Lot Like Adiós,Alexis Daria,2021,3.75,9457
Layla,Colleen Hoover,2020,3.75,198655
A Night to Surrender,Tessa Dare,2011,3.75,24837
Frankly in Love,David  Yoon,2019,3.75,26164
Pride,Ibi Zoboi,2018,3.75,25057
You Made a Fool of Death with Your Beauty,Akwaeke Emezi,2022,3.75,14222
Under One Roof,Ali Hazelwood,2022,3.75,69278
The Lost Duke of Wyndham,Julia Quinn,2008,3.74,22186
A Scot in the Dark,Sarah MacLean,2016,3.74,14277
Something Wilder,Christina Lauren,2022,3.74,42112
Neon Gods,Katee Robert,2021,3.74,112532
Romeo and Juliet,William Shakespeare,1597,3.74,2376465
Accidentally Engaged,Farah Heron,2021,3.74,10617
In a Holidaze,Christina Lauren,2020,3.74,110076
Paper Towns,John Green,2008,3.74,1193459
The Wisteria Society of Lady Scoundrels,India Holton,2021,3.74,15428
Fight or Flight,Samantha Young,2018,3.73,21971
After We Collided,Anna Todd,2013,3.73,163476
We Were Liars,E. Lockhart,2014,3.73,919633
Let's Talk About Love,Claire Kann,2018,3.73,9914
Dating Dr. Dil,Nisha Sharma,2022,3.73,29881
The Siren,Kiera Cass,2009,3.72,76367
Breaking Dawn,Stephenie Meyer,2008,3.72,1544376
"Will Grayson, Will Grayson",John Green,2010,3.72,378446
Girl Gone Viral,Alisha Rai,2020,3.72,10713
Fallen,Lauren Kate,2009,3.72,553649
Midnight Sun,Stephenie Meyer,2020,3.72,194655
Hate to Want You,Alisha Rai,2017,3.72,6516
Would Like to Meet,Rachel Winters,2019,3.72,19515
After,K.A. Tucker,2014,3.71,263884
A Pho Love Story,Loan Le,2021,3.71,15200
Below Zero,Ali Hazelwood,2022,3.71,38828
Stuck with You,Ali Hazelwood,2022,3.71,48423
Let it Snow,John Green,2008,3.71,136871
The Intimacy Experiment,Rosie Danan,2021,3.71,15730
Husband Material,Alexis  Hall,2022,3.71,12169
You Had Me at Hola,Alexis Daria,2020,3.7,32398
Love Lettering,Kate Clayborn,2019,3.7,39426
Nick & Norah's Infinite Playlist,Rachel Cohn,2006,3.7,83459
Tempting the Best Man,J. Lynn,2012,3.69,33510
"Pride, Prejudice, and Other Flavors",Sonali Dev,2019,3.69,15208
Payback's a Witch,Lana  Harper,2021,3.69,15882
The Secret History of the Pink Carnation,Lauren Willig,2004,3.69,22581
When Dimple Met Rishi,Sandhya Menon,2017,3.69,52486
Wicked Lovely,Melissa Marr,2007,3.69,162190
Weather Girl,Rachel Lynn Solomon,2022,3.69,25101
Credence,Penelope Douglas,2020,3.68,102715
Confessions of a Shopaholic,Sophie Kinsella,2000,3.68,705542
Ice Planet Barbarians,Ruby Dixon,2015,3.68,75411
The Heir,Kiera Cass,2015,3.67,300177
The Roughest Draft,Emily Wibberley,2022,3.67,26355
My True Love Gave to Me: Twelve Holiday Stories,Stephanie Perkins,2014,3.67,39069
This Is What Happy Looks Like,Jennifer E. Smith,2013,3.67,50009
Emergency Contact,Mary H.K. Choi,2018,3.67,38653
Much Ado About You,Samantha Young,2021,3.67,15445
Opposite of Always,Justin A. Reynolds,2019,3.67,22288
Cruel Beauty,Rosamund Hodge,2014,3.66,87119
The Dating Plan,Sara Desai,2021,3.66,34929
Fifty Shades of Grey,E.L. James,2011,3.66,2327268
Something to Talk About,Meryl Wilsner,2020,3.66,19263
The Bridges of Madison County,Robert James Waller,1992,3.66,89660
Shipped,Angie Hockman,2021,3.66,51696
The Secrets of Sir Richard Kenworthy,Julia Quinn,2015,3.66,18785
The Upside of Falling,Alex Light,2020,3.65,63660
The Crown,Kiera Cass,2016,3.65,223841
The Geography of You and Me,Jennifer E. Smith,2014,3.65,33598
The Roommate,Rosie Danan,2020,3.65,76613
Fix Her Up,Tessa Bailey,2019,3.65,93869
The Right Swipe,Alisha Rai,2019,3.65,21234
The Ugly Duchess,Eloisa James,2012,3.65,13514
Love Story,Erich Segal,1970,3.64,57475
Meet Me in the Margins,Melissa    Ferguson,2022,3.64,17452
Dating You / Hating You,Christina Lauren,2017,3.63,27840
Matched,Ally Condie,2010,3.63,732124
Allegiant,Veronica Roth,2013,3.61,961821
The Holiday Swap,Maggie Knox,2021,3.61,36104
The Road Trip,Beth O'Leary,2021,3.61,63228
Eligible: A Modern Retelling of Pride & Prejudice,Curtis Sittenfeld,2016,3.6,83519
The Wedding Date,Jasmine Guillory,2018,3.6,124943
"Eat, Pray, Love",Elizabeth Gilbert,2006,3.6,1638005
Bridget Jones: The Edge of Reason,Helen Fielding,1999,3.6,107531
Good Girl Complex,Elle Kennedy,2022,3.6,39196
Second First Impressions,Sally  Thorne,2021,3.59,60023
Once Upon a Winter's Eve,Tessa Dare,2011,3.59,11582
"Beautiful World, Where Are You",Sally Rooney,2021,3.59,250892
Evermore,Alyson Noel,2009,3.59,282408
The Boyfriend Project,Farrah Rochon,2020,3.58,14233
New Moon,Stephenie Meyer,2006,3.57,1734961
The Tourist Attraction,Sarah Morgenthaler,2020,3.56,24886
The Ex Hex,Erin Sterling,2021,3.55,93853
Reached,Ally Condie,2012,3.55,157531
Desperate Measures,Katee Robert,2019,3.55,27506
Austenland,Shannon Hale,2007,3.55,86635
Landline,Rainbow Rowell,2014,3.54,161979
Wintersong,S. Jae-Jones,2017,3.54,29627
The Marriage Game,Sara Desai,2020,3.53,14635
Crossed,Ally Condie,2011,3.52,234069
Waiting for Tom Hanks,Kerry Winfrey,2019,3.51,23413
To Love and to Loathe,Martha Waters,2021,3.51,11074
Lady Chatterley's Lover,D.H. Lawrence,1928,3.51,111798
Royal Holiday,Jasmine Guillory,2019,3.5,35927
The Proposal,Jane Austen,2018,3.49,100627
Shades of Milk and Honey,Mary Robinette Kowal,2010,3.49,15908
Wedding Night,Sophie Kinsella,2013,3.45,90221
99 Percent Mine,Sally  Thorne,2019,3.39,69346
